#SRCNAME|DSTNAME|METRIC=VALUE,METRIC=VALUE,...
aws.ap-south-1|azure.eastus|cost=109.30,delay=207.45
aws.ap-south-1|azure.eastus2|cost=109.30,delay=209.56
aws.ap-south-1|azure.southcentralus|cost=109.30,delay=234.61
aws.ap-south-1|azure.westus2|cost=109.30,delay=218.56
aws.ap-south-1|azure.westus3|cost=109.30,delay=234.69
aws.ap-south-1|azure.australiaeast|cost=109.30,delay=141.05
aws.ap-south-1|azure.southeastasia|cost=109.30,delay=51.90
aws.ap-south-1|azure.northeurope|cost=109.30,delay=143.57
aws.ap-south-1|azure.swedencentral|cost=109.30,delay=149.26
aws.ap-south-1|azure.uksouth|cost=109.30,delay=134.53
